case_id,transaction_id,submission_datetime,submission_channel,customer_service_segment,transaction_datetime,transaction_type,transaction_amount_gbp,merchant_category,dispute_category,customer_sentiment,evidence_completeness,initial_evidence_count,priority,assigned_queue,case_status,first_response_datetime,resolution_datetime,sla_target_hours,manual_handoff_count,rework_count,customer_contact_count,customer_update_count,fraud_referral_flag,escalation_flag,complaint_flag,outcome,refund_amount_gbp,resolution_time_hours,first_response_time_hours,sla_breached_flag,data_quality_flag
PFXC-000001,TXN-0011469,2026-03-14T02:31:12,Mobile,Standard,2026-02-04T01:20:12,Card Purchase,82.66,Utilities,Merchant Non-confirmation,Frustrated,Complete,3,Standard,Fraud Review,In Investigation,2026-03-15T00:50:19,,120,2,0,2,6,Yes,No,No,Pending,0.00,,22.32,No,Valid
PFXC-000002,TXN-0008781,2025-07-29T20:14:33,Mobile,Standard,2025-07-13T11:52:33,Card Purchase,83.32,Other,Subscription Dispute,Positive,Complete,3,Standard,Customer Service,Resolved,2025-07-30T07:49:37,2025-08-02T23:03:29,120,1,0,1,4,No,No,No,Partial Refund,64.52,98.82,11.58,No,Valid
PFXC-000003,TXN-0011317,2025-06-26T02:11:00,Chat,Assisted Digital,2025-05-17T02:15:00,Card Purchase,51.87,Subscription,Unauthorised Transaction,Frustrated,Missing,0,High,Fraud Review,Pending Customer,2025-06-26T12:03:21,,72,4,1,2,3,Yes,Yes,No,Pending,0.00,,9.87,No,Valid
PFXC-000004,TXN-0001740,2025-08-05T10:22:45,Email,Standard,2025-07-08T02:26:45,Card Purchase,13.91,Digital Services,Delayed Refund,Neutral,Complete,2,Standard,Payment Operations,Rejected,2025-08-06T06:20:10,2025-08-10T03:26:36,120,2,0,4,3,No,Yes,No,No Refund,0.00,113.06,19.96,No,Valid
PFXC-000005,TXN-0010831,2025-10-09T13:18:40,Web,Standard,2025-09-03T15:24:40,Card Purchase,95.05,Other,Failed Payment,Frustrated,Partial,2,Low,Refund Approval,Resolved,2025-10-10T15:05:46,2025-10-13T02:09:49,168,1,0,1,3,No,No,No,Full Refund,95.05,84.85,25.79,No,Valid
PFXC-000006,TXN-0006499,2025-08-24T15:40:16,Chat,Standard,2025-07-22T23:27:16,Card Purchase,82.49,Utilities,Failed Payment,Neutral,Complete,3,Standard,Technical Support,Rejected,2025-08-25T18:38:27,2025-08-28T20:23:57,120,1,1,2,4,No,No,No,No Refund,0.00,100.73,26.97,No,Valid
PFXC-000007,TXN-0009620,2025-09-28T06:26:40,Call Centre,Standard,2025-09-16T15:18:40,Card Purchase,118.97,Cash Withdrawal,Merchant Non-confirmation,Neutral,Partial,2,Standard,Technical Support,In Triage,2025-09-28T21:26:24,,120,1,1,0,3,No,No,No,Pending,0.00,,15.00,No,Valid
PFXC-000008,TXN-0005485,2025-11-10T23:04:37,Web,Standard,2025-10-06T10:42:37,Wallet Payment,31.08,Digital Services,Merchant Non-confirmation,Frustrated,Partial,2,Standard,Technical Support,Rejected,2025-11-11T20:22:10,2025-11-16T03:41:49,120,1,0,2,3,No,Yes,No,No Refund,0.00,124.62,21.29,Yes,Valid
PFXC-000009,TXN-0006271,2025-09-17T11:39:47,Mobile,Assisted Digital,2025-09-10T23:37:47,Bank Transfer,18.39,Subscription,Subscription Dispute,Neutral,Complete,3,Standard,Complaints,Resolved,2025-09-18T07:14:41,2025-09-19T17:42:14,120,2,0,3,2,No,No,Yes,Partial Refund,6.36,54.04,19.58,No,Valid
PFXC-000010,TXN-0005180,2025-06-01T00:42:14,Call Centre,Standard,2025-04-25T18:48:14,Card Purchase,67.66,Subscription,Delayed Refund,Frustrated,Complete,3,Standard,Fraud Review,Resolved,2025-06-01T16:20:33,2025-06-07T22:40:12,120,3,0,3,4,Yes,Yes,Yes,Full Refund,67.66,165.97,15.64,Yes,Valid
