event_id,case_id,event_datetime,event_type,from_status,to_status,actor_role,automated_flag,queue_from,queue_to,waiting_reason
EVT-00000001,PFXC-000001,2026-03-14T02:31:12,Submission,,Submitted,Customer,No,,Customer Service,None
EVT-00000002,PFXC-000001,2026-03-14T04:48:10,Assignment,Submitted,In Triage,System,Yes,Customer Service,Fraud Review,None
EVT-00000003,PFXC-000001,2026-03-14T14:07:13,Review,In Triage,In Investigation,Payment Operations,No,Fraud Review,Fraud Review,None
EVT-00000004,PFXC-000001,2026-03-15T01:30:39,Assignment,In Investigation,In Investigation,Operations,No,Fraud Review,Payment Operations,None
EVT-00000005,PFXC-000001,2026-03-15T19:20:30,Assignment,In Investigation,In Investigation,Operations,No,Payment Operations,Fraud Review,None
EVT-00000006,PFXC-000002,2025-07-29T20:14:33,Submission,,Submitted,Customer,No,,Customer Service,None
EVT-00000007,PFXC-000002,2025-07-30T00:25:54,Assignment,Submitted,In Triage,System,Yes,Customer Service,Customer Service,None
EVT-00000008,PFXC-000002,2025-07-30T10:35:06,Review,In Triage,In Investigation,Payment Operations,No,Customer Service,Customer Service,None
EVT-00000009,PFXC-000002,2025-07-30T16:01:29,Assignment,In Investigation,In Investigation,Operations,No,Customer Service,Refund Approval,None
EVT-00000010,PFXC-000002,2025-08-02T18:16:10,Decision,In Investigation,Pending Approval,Operations,No,Refund Approval,Refund Approval,None
EVT-00000011,PFXC-000002,2025-08-02T19:26:10,Notification,Pending Approval,Pending Approval,System,Yes,Refund Approval,Refund Approval,None
EVT-00000012,PFXC-000002,2025-08-02T23:03:29,Closure,Pending Approval,Resolved,Operations,No,Refund Approval,Refund Approval,None
EVT-00000013,PFXC-000003,2025-06-26T02:11:00,Submission,,Submitted,Customer,No,,Customer Service,None
EVT-00000014,PFXC-000003,2025-06-26T07:40:29,Assignment,Submitted,In Triage,System,Yes,Customer Service,Fraud Review,None
EVT-00000015,PFXC-000003,2025-06-26T14:46:42,Evidence Request,In Triage,Awaiting Evidence,Operations,No,Fraud Review,Fraud Review,None
EVT-00000016,PFXC-000003,2025-06-28T06:00:02,Evidence Received,Awaiting Evidence,In Investigation,Customer,No,Fraud Review,Fraud Review,Customer
EVT-00000017,PFXC-000003,2025-06-28T14:09:00,Assignment,In Investigation,In Investigation,Operations,No,Fraud Review,Fraud Review,None
EVT-00000018,PFXC-000003,2025-06-29T01:00:51,Assignment,In Investigation,In Investigation,Operations,No,Fraud Review,Payment Operations,None
EVT-00000019,PFXC-000003,2025-06-29T18:04:12,Assignment,In Investigation,In Investigation,Operations,No,Payment Operations,Payment Operations,None
EVT-00000020,PFXC-000003,2025-06-29T21:07:00,Assignment,In Investigation,In Investigation,Operations,No,Payment Operations,Payment Operations,None
EVT-00000021,PFXC-000003,2025-06-30T05:13:49,Escalation,In Investigation,In Investigation,Operations,No,Payment Operations,Payment Operations,None
EVT-00000022,PFXC-000004,2025-08-05T10:22:45,Submission,,Submitted,Customer,No,,Customer Service,None
EVT-00000023,PFXC-000004,2025-08-05T14:04:42,Assignment,Submitted,In Triage,System,Yes,Customer Service,Payment Operations,None
EVT-00000024,PFXC-000004,2025-08-05T17:44:14,Review,In Triage,In Investigation,Payment Operations,No,Payment Operations,Payment Operations,None
EVT-00000025,PFXC-000004,2025-08-06T06:43:47,Assignment,In Investigation,In Investigation,Operations,No,Payment Operations,Payment Operations,None
EVT-00000026,PFXC-000004,2025-08-06T14:05:07,Assignment,In Investigation,In Investigation,Operations,No,Payment Operations,Fraud Review,None
EVT-00000027,PFXC-000004,2025-08-07T04:13:06,Escalation,In Investigation,In Investigation,Operations,No,Fraud Review,Fraud Review,None
EVT-00000028,PFXC-000004,2025-08-09T23:04:46,Decision,In Investigation,Pending Approval,Operations,No,Fraud Review,Fraud Review,None
EVT-00000029,PFXC-000004,2025-08-10T00:28:46,Notification,Pending Approval,Pending Approval,System,Yes,Fraud Review,Fraud Review,None
EVT-00000030,PFXC-000004,2025-08-10T03:26:36,Closure,Pending Approval,Rejected,Operations,No,Fraud Review,Fraud Review,None
EVT-00000031,PFXC-000005,2025-10-09T13:18:40,Submission,,Submitted,Customer,No,,Customer Service,None
EVT-00000032,PFXC-000005,2025-10-09T13:56:27,Assignment,Submitted,In Triage,System,Yes,Customer Service,Refund Approval,None
EVT-00000033,PFXC-000005,2025-10-09T22:23:37,Evidence Request,In Triage,Awaiting Evidence,Operations,No,Refund Approval,Refund Approval,None
EVT-00000034,PFXC-000005,2025-10-10T07:27:14,Evidence Received,Awaiting Evidence,In Investigation,Customer,No,Refund Approval,Refund Approval,Customer
EVT-00000035,PFXC-000005,2025-10-10T12:02:40,Assignment,In Investigation,In Investigation,Operations,No,Refund Approval,Customer Service,None
EVT-00000036,PFXC-000005,2025-10-13T00:23:05,Decision,In Investigation,Pending Approval,Operations,No,Customer Service,Refund Approval,None
EVT-00000037,PFXC-000005,2025-10-13T02:09:49,Notification,Pending Approval,Pending Approval,System,Yes,Customer Service,Customer Service,None
EVT-00000038,PFXC-000005,2025-10-13T02:09:49,Closure,Pending Approval,Resolved,Operations,No,Customer Service,Customer Service,None
EVT-00000039,PFXC-000006,2025-08-24T15:40:16,Submission,,Submitted,Customer,No,,Customer Service,None
EVT-00000040,PFXC-000006,2025-08-24T21:24:55,Assignment,Submitted,In Triage,System,Yes,Customer Service,Technical Support,Technical Failure
EVT-00000041,PFXC-000006,2025-08-25T04:52:15,Review,In Triage,In Investigation,Payment Operations,No,Technical Support,Technical Support,None
EVT-00000042,PFXC-000006,2025-08-25T09:55:27,Assignment,In Investigation,In Investigation,Operations,No,Technical Support,Refund Approval,None
EVT-00000043,PFXC-000006,2025-08-28T16:54:35,Decision,In Investigation,Pending Approval,Operations,No,Refund Approval,Refund Approval,None
EVT-00000044,PFXC-000006,2025-08-28T19:02:35,Notification,Pending Approval,Pending Approval,System,Yes,Refund Approval,Refund Approval,None
EVT-00000045,PFXC-000006,2025-08-28T20:23:57,Closure,Pending Approval,Rejected,Operations,No,Refund Approval,Refund Approval,None
EVT-00000046,PFXC-000007,2025-09-28T06:26:40,Submission,,Submitted,Customer,No,,Customer Service,None
EVT-00000047,PFXC-000007,2025-09-28T13:34:03,Assignment,Submitted,In Triage,System,Yes,Customer Service,Technical Support,Technical Failure
EVT-00000048,PFXC-000007,2025-09-28T17:28:34,Evidence Request,In Triage,Awaiting Evidence,Operations,No,Technical Support,Technical Support,None
EVT-00000049,PFXC-000007,2025-09-30T00:16:08,Evidence Received,Awaiting Evidence,In Investigation,Customer,No,Technical Support,Technical Support,Customer
EVT-00000050,PFXC-000007,2025-09-30T15:24:53,Assignment,In Investigation,In Investigation,Operations,No,Technical Support,Fraud Review,None
EVT-00000051,PFXC-000008,2025-11-10T23:04:37,Submission,,Submitted,Customer,No,,Customer Service,None
EVT-00000052,PFXC-000008,2025-11-10T23:50:44,Assignment,Submitted,In Triage,System,Yes,Customer Service,Technical Support,Technical Failure
EVT-00000053,PFXC-000008,2025-11-11T07:19:15,Evidence Request,In Triage,Awaiting Evidence,Operations,No,Technical Support,Technical Support,None
EVT-00000054,PFXC-000008,2025-11-11T15:19:33,Evidence Received,Awaiting Evidence,In Investigation,Customer,No,Technical Support,Technical Support,Customer
