Scenario_ID,Case_ID,Source_ID,Source_Type,Source_State,Source_Time,Source_Content,Authoritative_Source,Data_Quality_Flag,Include_In_AI_Context,Notes
ES-01,PF-SYN-ES-001,TXN-ES01-01,Transaction,authoritative,2026-08-05T14:32:00,Card purchase GBP 84.50 at GreenMart.,Transaction System,None,Yes,
ES-01,PF-SYN-ES-001,EVD-ES01-01,Customer Statement,received,2026-08-06T09:10:00,Customer states they do not recognise the GreenMart transaction.,Evidence Record,None,Yes,
ES-01,PF-SYN-ES-001,EVD-ES01-02,Merchant Descriptor,received,2026-08-06T09:15:00,Merchant descriptor recorded as GreenMart.,Evidence Record,None,Yes,
ES-02,PF-SYN-ES-002,TXN-ES02-01,Transaction,authoritative,2026-08-07T18:20:00,ATM cash withdrawal GBP 120.00 recorded at ATM-447.,Transaction System,None,Yes,
ES-02,PF-SYN-ES-002,EVD-ES02-01,Customer Statement,received,2026-08-08T08:45:00,Customer states the ATM did not dispense cash.,Evidence Record,None,Yes,
ES-02,PF-SYN-ES-002,EVD-ES02-02,ATM Journal,missing,2026-08-08T08:50:00,ATM dispense journal is not available in the supplied context.,Evidence Record,None,Yes,
ES-03,PF-SYN-ES-003,EVD-ES03-01,Customer Statement,received,2026-08-09T10:00:00,Customer states the card was lost before the disputed transaction.,Evidence Record,None,Yes,
ES-03,PF-SYN-ES-003,TXN-ES03-01,Transaction Authentication,authoritative,2026-08-09T10:02:00,Transaction metadata records card-present chip-and-PIN processing.,Transaction System,None,Yes,
ES-03,PF-SYN-ES-003,CASE-ES03-01,Case Note,recorded,2026-08-09T10:10:00,No independent evidence currently establishes who possessed the card at the time.,PayFix,None,Yes,
ES-04,PF-SYN-ES-004,EVD-ES04-01,Customer Statement,received,2026-08-10T11:00:00,Customer states the paid service was not provided as expected.,Evidence Record,None,Yes,
ES-04,PF-SYN-ES-004,EVD-ES04-02,Merchant Statement,received,2026-08-10T11:20:00,Merchant states the booked service was supplied.,Evidence Record,None,Yes,
ES-04,PF-SYN-ES-004,EVD-ES04-03,Independent Proof,missing,2026-08-10T11:30:00,No independent completion or quality evidence is present.,Evidence Record,None,Yes,
ES-05,PF-SYN-ES-005,TXN-ES05-01,Original Transaction,authoritative,2026-08-01T12:00:00,Original purchase GBP 139.99.,Transaction System,None,Yes,
ES-05,PF-SYN-ES-005,EVD-ES05-01,Merchant Refund Confirmation,received,2026-08-12T09:00:00,Merchant states a GBP 139.99 refund was initiated on 2026-08-11.,Evidence Record,None,Yes,
ES-05,PF-SYN-ES-005,EVD-ES05-02,Customer Statement,received,2026-08-15T10:00:00,Customer states the refund has not appeared in their account.,Evidence Record,None,Yes,
ES-05,PF-SYN-ES-005,TXN-ES05-02,Account Transaction History,authoritative,2026-08-15T10:15:00,No incoming refund transaction is recorded through 2026-08-15.,Transaction System,None,Yes,
ES-05,PF-SYN-ES-005,EVD-ES05-03,Merchant Correspondence,received,2026-08-15T10:30:00,Merchant advises settlement can take several working days.,Evidence Record,None,Yes,
ES-06,PF-SYN-ES-006,TXN-ES06-01,Transaction,authoritative,2026-08-16T14:00:00,Card purchase GBP 46.20 at Metro Foods.,Transaction System,None,Yes,
ES-06,PF-SYN-ES-006,EVD-ES06-01,Customer Statement,received,2026-08-17T09:00:00,Customer states the Metro Foods transaction is not recognised.,Evidence Record,None,Yes,
ES-06,PF-SYN-ES-006,CMP-OLD-06,Prior Complaint,closed,2026-05-02T12:00:00,Historical complaint about an unrelated broadband payment.,PayFix,None,No,Deliberate distractor; unrelated to current dispute.
ES-07,PF-SYN-ES-007,REF-ES07-01,Specialist Referral,accepted,2026-08-18T10:00:00,Fraud Review accepted the referral.,PayFix,None,Yes,
