evidence_id,case_id,evidence_type,submitted_by,received_datetime,file_format,completeness_status,review_outcome,sensitive_data_flag,security_scan_result
EVD-00000001,PFXC-000001,Receipt,Customer,2026-03-14T19:47:11,CSV,Complete,Accepted,No,Passed
EVD-00000002,PFXC-000001,Receipt,Customer,2026-03-16T14:29:37,PNG,Incomplete,Rejected,No,Passed
EVD-00000003,PFXC-000001,Bank Statement,Customer,2026-03-15T21:38:27,PDF,Incomplete,Further Evidence Required,No,Passed
EVD-00000004,PFXC-000002,Bank Statement,Merchant,2025-07-30T17:38:25,PDF,Complete,Further Evidence Required,No,Passed
EVD-00000005,PFXC-000002,Receipt,Customer,2025-08-01T15:16:07,PDF,Incomplete,Further Evidence Required,No,Passed
EVD-00000006,PFXC-000002,Receipt,Customer,2025-07-31T05:22:03,PDF,Complete,Accepted,No,Passed
EVD-00000007,PFXC-000003,Screenshot,Customer,2025-06-26T22:56:44,PDF,Complete,Accepted,No,Passed
EVD-00000008,PFXC-000003,Other,Customer,2025-06-28T06:39:56,PDF,Complete,Accepted,No,Passed
EVD-00000009,PFXC-000004,Screenshot,Customer,2025-08-08T07:29:07,JPG,Complete,Accepted,No,Passed
EVD-00000010,PFXC-000004,Screenshot,Customer,2025-08-06T07:06:14,JPG,Complete,Accepted,No,Passed
EVD-00000011,PFXC-000005,Receipt,Customer,2025-10-10T12:09:03,JPG,Complete,Accepted,Yes,Passed
EVD-00000012,PFXC-000005,Merchant Communication,Customer,2025-10-10T22:33:22,JPG,Incomplete,Rejected,No,Passed
EVD-00000013,PFXC-000006,Screenshot,Customer,2025-08-25T06:32:48,PDF,Incomplete,Further Evidence Required,No,Passed
EVD-00000014,PFXC-000006,Merchant Communication,Customer,2025-08-26T13:54:03,PDF,Complete,Accepted,No,Passed
EVD-00000015,PFXC-000006,Receipt,Customer,2025-08-27T06:15:57,PNG,Complete,Accepted,No,Passed
EVD-00000016,PFXC-000007,Receipt,Customer,2025-09-30T14:09:08,PDF,Complete,Accepted,No,Passed
EVD-00000017,PFXC-000007,Bank Statement,Customer,2025-09-28T15:57:27,Other,Complete,Accepted,No,Passed
EVD-00000018,PFXC-000007,Receipt,Customer,2025-09-28T07:39:51,PDF,Complete,Accepted,Yes,Passed
EVD-00000019,PFXC-000008,Bank Statement,Customer,2025-11-12T04:31:01,PDF,Complete,Accepted,No,Passed
EVD-00000020,PFXC-000008,Identity Evidence,Merchant,2025-11-13T06:55:38,PDF,Unreadable,Further Evidence Required,No,Passed
EVD-00000021,PFXC-000009,Receipt,Customer,2025-09-19T16:27:43,CSV,Complete,Accepted,No,Passed
EVD-00000022,PFXC-000009,Merchant Communication,Merchant,2025-09-20T01:00:31,PDF,Complete,Accepted,No,Passed
EVD-00000023,PFXC-000009,Receipt,Customer,2025-09-18T05:47:51,PNG,Incomplete,Rejected,No,Passed
EVD-00000024,PFXC-000010,Receipt,Customer,2025-06-01T19:09:12,JPG,Complete,Accepted,Yes,Passed
EVD-00000025,PFXC-000010,Bank Statement,Customer,2025-06-02T10:52:25,JPG,Unreadable,Further Evidence Required,No,Passed
EVD-00000026,PFXC-000010,Merchant Communication,Customer,2025-06-02T18:39:18,PDF,Complete,Accepted,No,Passed
EVD-00000027,PFXC-000011,Other,Customer,2026-05-18T07:40:13,PDF,Incomplete,Further Evidence Required,No,Passed
EVD-00000028,PFXC-000011,Screenshot,Customer,2026-05-17T20:51:30,JPG,Complete,Accepted,No,Passed
EVD-00000029,PFXC-000011,Receipt,Customer,2026-05-16T20:36:26,PDF,Unreadable,Further Evidence Required,No,Passed
EVD-00000030,PFXC-000011,Screenshot,Customer,2026-05-17T13:46:41,PDF,Complete,Accepted,No,Passed
EVD-00000031,PFXC-000012,Merchant Communication,Customer,2025-08-28T17:56:06,PDF,Complete,Accepted,No,Passed
EVD-00000032,PFXC-000013,Receipt,Operations,2026-05-02T11:16:05,PDF,Complete,Accepted,No,Passed
EVD-00000033,PFXC-000013,Receipt,Operations,2026-05-03T07:40:51,JPG,Complete,Accepted,Yes,Passed
EVD-00000034,PFXC-000014,Merchant Communication,Customer,2025-05-17T01:56:05,PDF,Complete,Accepted,No,Passed
EVD-00000035,PFXC-000014,Other,Customer,2025-05-18T21:24:41,PNG,Incomplete,Rejected,No,Passed
EVD-00000036,PFXC-000014,Receipt,Customer,2025-05-17T22:13:34,PDF,Complete,Accepted,Yes,Passed
EVD-00000037,PFXC-000015,Merchant Communication,Merchant,2025-02-20T08:29:24,PDF,Complete,Accepted,Yes,Passed
EVD-00000038,PFXC-000015,Merchant Communication,Customer,2025-02-20T10:42:17,JPG,Unreadable,Further Evidence Required,No,Passed
EVD-00000039,PFXC-000016,Bank Statement,Customer,2025-08-18T17:01:01,PNG,Complete,Accepted,No,Passed
EVD-00000040,PFXC-000016,Other,Operations,2025-08-18T04:08:30,PDF,Complete,Accepted,No,Passed
EVD-00000041,PFXC-000017,Merchant Communication,Customer,2025-11-19T03:41:32,PNG,Complete,Accepted,No,Passed
EVD-00000042,PFXC-000018,Screenshot,Customer,2026-02-08T23:12:53,PDF,Complete,Accepted,No,Passed
EVD-00000043,PFXC-000018,Receipt,Merchant,2026-02-08T10:56:21,JPG,Complete,Accepted,No,Passed
EVD-00000044,PFXC-000019,Receipt,Customer,2025-01-25T04:39:06,PDF,Complete,Accepted,No,Passed
EVD-00000045,PFXC-000019,Receipt,Customer,2025-01-25T20:06:06,PDF,Complete,Accepted,No,Passed
EVD-00000046,PFXC-000019,Other,Customer,2025-01-26T07:05:16,JPG,Complete,Further Evidence Required,No,Passed
EVD-00000047,PFXC-000020,Bank Statement,Customer,2026-03-30T07:57:59,JPG,Complete,Accepted,No,Passed
EVD-00000048,PFXC-000020,Receipt,Merchant,2026-03-30T19:51:53,JPG,Incomplete,Rejected,No,Passed
EVD-00000049,PFXC-000020,Merchant Communication,Customer,2026-04-01T19:03:10,PDF,Complete,Accepted,Yes,Passed
EVD-00000050,PFXC-000021,Merchant Communication,Merchant,2025-02-03T04:30:46,Other,Complete,Accepted,No,Passed
EVD-00000051,PFXC-000021,Bank Statement,Customer,2025-02-04T12:57:14,PNG,Complete,Accepted,No,Passed
EVD-00000052,PFXC-000021,Other,Customer,2025-02-04T22:19:22,PDF,Complete,Accepted,No,Passed
EVD-00000053,PFXC-000022,Merchant Communication,Customer,2026-05-22T02:20:50,PDF,Complete,Accepted,No,Passed
EVD-00000054,PFXC-000022,Merchant Communication,Operations,2026-05-21T06:11:37,CSV,Complete,Accepted,No,Passed
EVD-00000055,PFXC-000022,Merchant Communication,Operations,2026-05-21T11:54:55,PDF,Complete,Accepted,No,Passed
EVD-00000056,PFXC-000023,Merchant Communication,Operations,2025-12-17T05:40:18,PDF,Complete,Further Evidence Required,No,Passed
EVD-00000057,PFXC-000023,Bank Statement,Customer,2025-12-18T15:45:23,JPG,Complete,Accepted,No,Passed
EVD-00000058,PFXC-000024,Identity Evidence,Customer,2025-12-23T02:24:03,JPG,Complete,Further Evidence Required,No,Passed
EVD-00000059,PFXC-000025,Receipt,Customer,2025-05-31T12:43:05,JPG,Complete,Accepted,No,Passed
EVD-00000060,PFXC-000025,Screenshot,Customer,2025-05-29T13:09:30,JPG,Complete,Accepted,Yes,Passed
EVD-00000061,PFXC-000025,Receipt,Customer,2025-05-30T10:12:27,PDF,Complete,Accepted,No,Passed
EVD-00000062,PFXC-000025,Screenshot,Customer,2025-05-29T18:37:37,JPG,Complete,Accepted,Yes,Passed
EVD-00000063,PFXC-000026,Screenshot,Customer,2025-04-17T13:38:55,PDF,Unreadable,Further Evidence Required,No,Passed
EVD-00000064,PFXC-000026,Bank Statement,Customer,2025-04-18T14:40:22,PDF,Complete,Accepted,No,Passed
EVD-00000065,PFXC-000026,Bank Statement,Customer,2025-04-16T21:32:24,PDF,Complete,Accepted,No,Passed
EVD-00000066,PFXC-000027,Bank Statement,Operations,2025-08-11T17:13:37,PDF,Complete,Accepted,Yes,Passed
EVD-00000067,PFXC-000027,Receipt,Operations,2025-08-09T22:06:11,PNG,Incomplete,Rejected,No,Passed
EVD-00000068,PFXC-000027,Bank Statement,Customer,2025-08-12T00:38:09,PNG,Complete,Further Evidence Required,No,Passed
EVD-00000069,PFXC-000028,Screenshot,Customer,2025-07-08T06:52:54,PNG,Incomplete,Rejected,No,Passed
